time,x,y,speed(km/h),accel(m/s^2),steer,throttle,brake,collision_intensity
0.0,211.31,-307.88,0.0,0.0,0.0,0.0,0.0,0
0.11,211.31,-307.88,0.01,0.09,0.0,0.85,0.0,0
0.22,211.31,-307.88,0.01,-0.02,0.0,0.85,0.0,0
0.32,211.31,-307.88,0.0,-0.04,0.0,0.85,0.0,0
0.44,211.31,-307.88,0.0,-0.02,0.0,0.85,0.0,0
0.54,211.31,-307.88,0.0,0.0,0.0,0.85,0.0,0
0.65,211.31,-307.88,0.0,0.0,0.0,0.85,0.0,0
0.76,211.37,-307.88,3.38,33.79,-0.0,0.85,0.0,0
0.87,211.5,-307.88,4.56,11.81,-0.0,0.85,0.0,0
0.98,211.64,-307.88,5.21,6.53,0.0,0.85,0.0,0
1.09,211.81,-307.87,6.26,10.5,0.0,0.85,0.0,0
1.2,212.02,-307.87,7.16,8.97,0.0,0.85,0.0,0
1.31,212.27,-307.87,8.18,10.18,0.0,0.85,0.0,0
1.42,212.52,-307.87,8.99,8.15,0.0,0.85,0.0,0
1.53,212.81,-307.86,9.79,8.0,0.0,0.85,0.0,0
1.64,213.12,-307.86,10.59,7.96,0.0,0.85,0.0,0
1.75,213.46,-307.86,11.47,8.79,0.0,0.85,0.0,0
1.86,213.81,-307.85,12.37,9.07,0.0,0.85,0.0,0
1.97,214.2,-307.85,13.35,9.74,0.0,0.85,0.0,0
2.08,214.63,-307.85,14.44,10.91,0.0,0.85,0.0,0
2.19,215.1,-307.84,15.62,11.84,0.0,0.85,0.0,0
2.3,215.58,-307.84,16.8,11.73,0.0,0.85,0.0,0
2.41,216.11,-307.83,18.01,12.12,0.0,0.85,0.0,0
2.52,216.69,-307.82,19.18,11.69,-0.0,0.85,0.0,0
2.63,217.27,-307.82,20.3,11.22,0.0,0.85,0.0,0
2.74,217.92,-307.81,21.48,11.76,0.0,0.85,0.0,0
2.85,218.57,-307.8,21.77,2.98,-0.0,0.85,0.0,0
2.96,219.27,-307.8,24.1,23.28,0.0,0.85,0.0,0
3.07,220.05,-307.79,26.24,21.42,-0.0,0.85,0.0,0
3.18,220.89,-307.78,27.77,15.23,0.0,0.85,0.0,0
3.29,221.77,-307.77,28.95,11.83,0.0,0.52,0.0,0
3.4,222.64,-307.76,29.39,4.37,0.0,0.09,0.0,0
3.51,223.51,-307.75,28.96,-4.24,0.0,0.02,0.0,0
3.61,224.4,-307.75,28.1,-8.59,0.0,0.15,0.0,0
3.73,225.25,-307.74,27.29,-8.11,0.0,0.33,0.0,0
3.84,226.06,-307.73,26.75,-5.45,0.0,0.42,0.0,0
3.95,226.88,-307.72,26.39,-3.53,0.0,0.42,0.0,0
4.05,227.66,-307.71,26.12,-2.73,0.0,0.36,0.0,0
4.16,228.47,-307.7,25.8,-3.22,0.0,0.32,0.0,0
4.27,229.26,-307.7,25.41,-3.83,0.0,0.31,0.0,0
4.38,230.02,-307.69,25.01,-4.07,0.0,0.32,0.0,0
4.49,230.76,-307.68,24.6,-4.04,0.0,0.33,0.0,0
4.6,231.48,-307.67,24.23,-3.72,0.0,0.34,0.0,0
4.71,232.22,-307.66,23.87,-3.66,0.0,0.34,0.0,0
4.82,232.96,-307.66,23.51,-3.55,0.0,0.34,0.0,0
4.93,233.65,-307.65,23.16,-3.55,0.0,0.34,0.0,0
5.04,234.37,-307.64,22.8,-3.52,0.0,0.34,0.0,0
5.15,235.07,-307.64,22.45,-3.5,0.0,0.34,0.0,0
5.26,235.72,-307.63,22.12,-3.35,0.0,0.34,0.0,0
5.37,236.39,-307.62,21.79,-3.28,-0.0,0.34,0.0,0
5.48,237.06,-307.61,21.46,-3.29,0.0,0.33,0.0,0
5.59,237.71,-307.61,21.19,-2.76,-0.0,0.33,0.0,0
5.7,238.36,-307.6,20.86,-3.21,0.0,0.34,0.0,0
5.81,238.97,-307.6,20.5,-3.64,0.0,0.34,0.0,0
5.92,239.6,-307.59,20.18,-3.21,0.0,0.34,0.0,0
6.03,240.2,-307.58,19.96,-2.24,0.0,0.34,0.0,0
6.14,240.81,-307.58,19.3,-6.6,0.0,0.0,1.0,0
6.25,241.36,-307.57,16.98,-23.21,0.0,0.0,1.0,0
6.36,241.81,-307.57,12.82,-41.57,0.0,0.0,1.0,0
6.47,242.16,-307.56,9.8,-30.23,0.0,0.0,1.0,0
6.58,242.41,-307.56,7.5,-22.93,-0.0,0.0,1.0,0
6.69,242.61,-307.56,5.45,-20.48,0.0,0.0,1.0,0
6.8,242.75,-307.56,3.68,-17.79,0.0,0.0,1.0,0
6.9,242.79,-307.56,0.0,-36.73,0.0,0.0,1.0,0
7.01,242.8,-307.56,0.02,0.16,0.0,0.0,1.0,0
7.12,242.8,-307.56,0.01,-0.06,-0.0,0.0,1.0,0
7.23,242.8,-307.56,0.01,-0.07,0.0,0.0,1.0,0
7.34,242.8,-307.56,0.0,-0.04,-0.0,0.0,1.0,0
7.45,242.8,-307.56,0.0,-0.01,0.0,0.0,1.0,0
7.56,242.8,-307.56,0.0,-0.01,0.0,0.0,1.0,0
7.67,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
7.78,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
7.89,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
8.0,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
8.11,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
8.22,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
8.33,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
8.44,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
8.55,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
8.66,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
8.77,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
8.88,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
8.99,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
9.1,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
9.21,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
9.31,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
9.42,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
9.53,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
9.64,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
9.75,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
9.87,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
9.98,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
10.08,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
10.19,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
10.31,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
10.41,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
10.52,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
10.63,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
10.74,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
10.85,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
10.96,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
11.08,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
11.19,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
11.3,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
11.4,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
11.52,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
11.62,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
11.73,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
11.84,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
11.95,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
12.06,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
12.17,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
12.28,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
12.39,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
12.5,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
12.61,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
12.72,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
12.83,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
12.94,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
13.05,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
13.16,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
13.27,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
13.38,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
13.49,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
13.6,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
13.71,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
13.82,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
13.92,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
14.03,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
14.14,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
14.25,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
14.36,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
14.48,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
14.59,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
14.7,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
14.81,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
14.92,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
15.03,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
15.14,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
15.25,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
15.36,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
15.47,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
15.58,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
15.69,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
15.8,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
15.91,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
16.02,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
16.13,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
16.24,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
16.35,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
16.46,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
16.57,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
16.68,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
16.78,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
16.89,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
17.0,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
17.11,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
17.22,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
17.33,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
17.44,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
17.55,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
17.66,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
17.77,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
17.88,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
17.99,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
18.1,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
18.21,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
18.32,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
18.43,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
18.54,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
18.65,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
18.76,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
18.87,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
18.98,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
19.09,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
19.2,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
19.31,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
19.42,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
19.53,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
19.64,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
19.75,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
19.86,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
19.97,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
20.08,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
20.19,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
20.3,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
20.41,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
20.52,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
20.63,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
20.74,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
20.85,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
20.96,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
21.07,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
21.18,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
21.29,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
21.4,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
21.51,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
21.62,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
21.73,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
21.84,242.8,-307.56,0.0,0.0,0.0,0.0,1.0,0
